L,N,mpo_kpm_bytes,sparse_kpm_bytes,exact_diag_bytes
2,4,2000.0,200.0,160.0
3,8,3320.0,424.0,576.0
4,16,4704.0,872.0,2176.0
5,32,6088.0,1768.0,8448.0
6,64,7472.0,3560.0,33280.0
7,128,8856.0,7144.0,132096.0
8,256,10240.0,14312.0,526336.0
9,512,11624.0,28648.0,2.101248e6
10,1024,13008.0,57320.0,8.3968e6
11,2048,14392.0,114664.0,3.3570816e7
12,4096,15776.0,229352.0,1.34250496e8
13,8192,17160.0,458728.0,5.36936448e8
14,16384,18544.0,917480.0,2.14761472e9
15,32768,19928.0,1.834984e6,8.590196736e9
16,65536,21312.0,3.669992e6,3.4360262656e10
17,131072,22696.0,7.340008e6,1.37440002048e11
18,262144,24080.0,1.468004e7,5.4975791104e11
19,524288,25464.0,2.9360104e7,2.199027449856e12
20,1048576,26848.0,5.8720232e7,8.796101410816e12
21,2097152,28232.0,1.17440488e8,3.5184388866048e13
22,4194304,29616.0,2.34881e8,1.4073752190976e14
23,8388608,31000.0,4.69762024e8,5.62950020530176e14
24,16777216,32384.0,9.39524072e8,2.251799947902976e15
25,33554432,33768.0,1.879048168e9,9.007199523176448e15
26,67108864,35024.0,3.75809636e9,3.602879755583488e16
27,134217728,36280.0,7.516192744e9,1.441151891495977e17
28,268435456,37536.0,1.5032385512e10,5.764607544509071e17
29,536870912,38664.0,3.0064771048e10,2.305843013508661e18
30,1073741824,39792.0,6.012954212e10,9.22337204544471e18
31,2147483648,40920.0,1.20259084264e11,3.689348816459897e19
32,4294967296,42048.0,2.40518168552e11,1.4757395262403615e20
33,8589934592,43176.0,4.81036337128e11,5.902958104274251e20
34,17179869184,44304.0,9.6207267428e11,2.3611832415722616e21
35,34359738368,45432.0,1.924145348584e12,9.444732966014168e21
36,68719476736,46560.0,3.848290697192e12,3.777893186350692e22
37,137438953472,47688.0,7.696581394408e12,1.5111572745292816e23
38,274877906944,48816.0,1.539316278884e13,6.044629098095136e23
39,549755813888,49944.0,3.0786325577704e13,2.4178516392336564e24
40,1099511627776,51072.0,6.1572651155432e13,9.67140655692583e24
