L,N,mpo_kpm_fit_bytes,sparse_kpm_fit_bytes,exact_diag_fit_bytes
5,32,10824.120720380086,1789.374021380263,8219.86486741449
6,64,11384.090443137398,3578.963361453896,32874.879582722504
7,128,11973.029363347812,7158.35738620423,131481.20133493768
8,256,12592.436159184397,14317.576150823854,525851.5475616772
9,512,13243.887040697664,28636.87516212975,2.1031131999516725e6
10,1024,13929.03976081147,57277.196252538575,8.411281001872832e6
11,2048,14649.63783382181,114561.28477629027,3.3640437468650095e7
12,4096,15407.51497213334,229136.35492436646,1.3454300633044842e8
13,8192,16204.59975252386,458300.2822511242,5.38097061588583e8
14,16384,17042.920523810986,916655.7126248693,2.152088433189259e9
15,32768,17924.610568409655,1.8334217281310563e6,8.60715464714455e9
16,65536,18851.91353091511,3.667064075297698e6,3.442382291422641e10
17,131072,19827.189127525482,7.334569415214064e6,1.3767611163151883e11
18,262144,20852.919150832844,1.4670021412763651e7,5.506277371111208e11
19,524288,21931.713785263204,2.9341808096401125e7,2.2022041535250815e12
20,1048576,23066.318249236265,5.868714694696822e7,8.807589605360572e12
21,2097152,24259.61978094749,1.1738135582713056e8,3.522545107013943e13
22,4194304,25514.65498554912,2.347768363704248e8,1.4088217760959006e14
23,8388608,26834.61756242665,4.695819238728304e8,5.634502146899412e14
24,16777216,28222.86643223442,9.392203534091334e8,2.2534869195018015e15
25,33554432,29682.934284371237,1.878553724944643e9,9.012692095893838e15
26,67108864,31218.53656664689,3.7573334997417197e9,3.604574675469836e16
27,134217728,32833.580940015665,7.515119126389305e9,1.4416290330120157e17
28,268435456,34532.17722243635,1.503114256099561e10,5.765712895245445e17
29,536870912,36318.647847162996,3.0064093847242302e10,2.3059639081313183e18
30,1073741824,38197.538862079746,6.0131805362634026e10,9.222570811649648e18
31,2147483648,40173.63149806979,1.202708464968876e11,3.6885144678963626e19
32,4294967296,42251.95433585672,2.405561654077082e11,1.4752002730838586e20
33,8589934592,44437.79610227905,4.8114127738477466e11,5.899979150543587e20
34,17179869184,46736.71912856117,9.623404513914603e11,2.3596629292970748e21
35,34359738368,49154.57350482756,1.9247967029935503e12,9.43733697666686e21
36,68719476736,51697.511966879894,3.8498250203428145e12,3.7744089677119625e22
37,137438953472,54372.005553119205,7.70011329726764e12,1.509553287200309e23
38,274877906944,57184.86007145555,1.5401153163443828e13,6.037372066436753e23
39,549755813888,60143.2334181087,3.08041595762005e13,2.4146124404917484e24
40,1099511627776,63254.65379237112,6.161202587403163e13,9.657104405060433e24
